title,year_aired,status,episodes,image_url,profile_url,studio,source,theme,demographic,ratings,fanbase
Shingeki no Kyojin,2013,Finished,25,https://cdn.myanimelist.net/images/anime/10/47347.jpg,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,Wit Studio,Manga,"Gore,Military,Survival",Shounen,8.57,4.2M
Fullmetal Alchemist: Brotherhood,2009,Finished,64,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Bones,Manga,Military,Shounen,9.10,3.6M
One Punch Man,2015,Finished,12,https://cdn.myanimelist.net/images/anime/12/76049.jpg,https://myanimelist.net/anime/30276/One_Punch_Man,Madhouse,Web manga,"Adult Cast,Parody,Super Power",Seinen,8.48,3.4M
Kimetsu no Yaiba,2019,Finished,26,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,ufotable,Manga,Historical,Shounen,8.42,3.3M
Sword Art Online,2012,Finished,25,https://cdn.myanimelist.net/images/anime/11/39717.jpg,https://myanimelist.net/anime/11757/Sword_Art_Online,A-1 Pictures,Light novel,Video Game,,7.22,3.2M
Boku no Hero Academia,2016,Finished,13,https://cdn.myanimelist.net/images/anime/10/78745.jpg,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,Bones,Manga,"School,Super Power",Shounen,7.83,3.2M
Hunter x Hunter (2011),2011,Finished,148,https://cdn.myanimelist.net/images/anime/1337/99013.jpg,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Madhouse,Manga,Shounen,,9.03,3.1M
Naruto,2002,Finished,220,https://cdn.myanimelist.net/images/anime/1141/142503.jpg,https://myanimelist.net/anime/20/Naruto,Studio Pierrot,Manga,Martial Arts,Shounen,8.01,3.0M
Tokyo Ghoul,2014,Finished,12,https://cdn.myanimelist.net/images/anime/1498/134443.jpg,https://myanimelist.net/anime/22319/Tokyo_Ghoul,Studio Pierrot,Manga,"Gore,Psychological,Urban Fantasy",Seinen,7.79,3.0M
Shingeki no Kyojin Season 2,2017,Finished,12,https://cdn.myanimelist.net/images/anime/4/84177.jpg,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,Wit Studio,Manga,"Gore,Military,Survival",Shounen,8.53,2.9M
Jujutsu Kaisen,2020,Finished,24,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,MAPPA,Manga,School,Shounen,8.53,2.9M
Naruto: Shippuuden,2007,Finished,500,https://cdn.myanimelist.net/images/anime/1565/111305.jpg,https://myanimelist.net/anime/1735/Naruto__Shippuuden,Studio Pierrot,Manga,Martial Arts,Shounen,8.28,2.7M
Boku no Hero Academia 2nd Season,2017,Finished,25,https://cdn.myanimelist.net/images/anime/12/85221.jpg,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,Bones,Manga,"School,Super Power",Shounen,8.05,2.7M
One Piece,1999,Airing,?,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,https://myanimelist.net/anime/21/One_Piece,Toei Animation,Manga,Shounen,,8.73,2.6M
Shingeki no Kyojin Season 3,2018,Finished,12,https://cdn.myanimelist.net/images/anime/1173/92110.jpg,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,Wit Studio,Manga,"Gore,Military,Survival",Shounen,8.64,2.6M
Shingeki no Kyojin Season 3 Part 2,2019,Finished,10,https://cdn.myanimelist.net/images/anime/1517/100633.jpg,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Wit Studio,Manga,"Gore,Military,Survival",Shounen,9.05,2.5M
Boku no Hero Academia 3rd Season,2018,Finished,25,https://cdn.myanimelist.net/images/anime/1319/92084.jpg,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,Bones,Manga,"School,Super Power",Shounen,7.98,2.3M
Noragami,2014,Finished,12,https://cdn.myanimelist.net/images/anime/1886/128266.jpg,https://myanimelist.net/anime/20507/Noragami,Bones,Manga,Mythology,Shounen,7.94,2.3M
Mob Psycho 100,2016,Finished,12,https://cdn.myanimelist.net/images/anime/8/80356.jpg,https://myanimelist.net/anime/32182/Mob_Psycho_100,Bones,Web manga,,,8.49,2.3M
Akame ga Kill!,2014,Finished,24,https://cdn.myanimelist.net/images/anime/1429/95946.jpg,https://myanimelist.net/anime/22199/Akame_ga_Kill,White Fox,Manga,Gore,Shounen,7.48,2.2M
Shingeki no Kyojin: The Final Season,2020,Finished,16,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,MAPPA,Manga,"Gore,Military,Survival",Shounen,8.78,2.2M
Nanatsu no Taizai,2014,Finished,24,https://cdn.myanimelist.net/images/anime/8/65409.jpg,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai,A-1 Pictures,Manga,Shounen,,7.61,2.2M
Ansatsu Kyoushitsu,2015,Finished,22,https://cdn.myanimelist.net/images/anime/5/75639.jpg,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu,Lerche,Manga,School,Shounen,8.07,2.2M
Bleach,2004,Finished,366,https://cdn.myanimelist.net/images/anime/1541/147774.jpg,https://myanimelist.net/anime/269/Bleach,Studio Pierrot,Manga,Shounen,,7.98,2.1M
Mirai Nikki (TV),2011,Finished,26,https://cdn.myanimelist.net/images/anime/13/33465.jpg,https://myanimelist.net/anime/10620/Mirai_Nikki_TV,asread.,Manga,"Gore,High Stakes Game,Psychological,Survival",Shounen,7.38,2.1M
Sword Art Online II,2014,Finished,24,https://cdn.myanimelist.net/images/anime/1223/121999.jpg,https://myanimelist.net/anime/21881/Sword_Art_Online_II,A-1 Pictures,Light novel,Video Game,,6.71,2.1M
Ao no Exorcist,2011,Finished,25,https://cdn.myanimelist.net/images/anime/10/75195.jpg,https://myanimelist.net/anime/9919/Ao_no_Exorcist,A-1 Pictures,Manga,"Mythology,School",Shounen,7.47,2.0M
Cowboy Bebop,1998,Finished,26,https://cdn.myanimelist.net/images/anime/4/19644.jpg,https://myanimelist.net/anime/1/Cowboy_Bebop,Sunrise,Original,"Adult Cast,Space",,8.75,2.0M
Kiseijuu: Sei no Kakuritsu,2014,Finished,24,https://cdn.myanimelist.net/images/anime/3/73178.jpg,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,Madhouse,Manga,"Gore,Psychological",Seinen,8.32,2.0M
Tokyo Ghoul √A,2015,Finished,12,https://cdn.myanimelist.net/images/anime/1889/123307.jpg,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A,Studio Pierrot,Manga,"Gore,Psychological,Urban Fantasy",Seinen,7.03,1.9M
Boku no Hero Academia 4th Season,2019,Finished,25,https://cdn.myanimelist.net/images/anime/1412/107914.jpg,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season,Bones,Manga,"School,Super Power",Shounen,7.86,1.9M
